Date,AAPL,ADSK,AMZN,APTV,ATHN,BABA,BB,BCG,BIDU,BLUE,CERS,CGEN,CRM,EDIT,FB,FMI,GBTC,GOOG,HDP,ILMN,IONS,JD,JUNO,LC,MCRB,MDSO,MGTI,MTLS,NFLX,NSTG,NTDOY,NTLA,NVDA,NVTA,ONVO,PACB,PRLB,PYPL,RDFN,RHT,SFTBY,SPLK,SQ,SSYS,SYRS,TCEHY,TER,TREE,TSLA,TWOU,TWTR,VCYT,VLKAY,XLNX,XONE
2017-11-28,172.367249,129.949997,1193.599976,85.199097,128.570007,186.690002,10.93,6240.0,244.02999900000003,166.449997,3.93,2.6,106.459999,27.129998999999998,182.419998,50.799999,16.153955,1047.410034,19.82,226.27999900000003,52.93,38.57,56.990002000000004,4.36,10.36,67.839996,2.39,14.84,199.179993,8.21,53.220001,21.5,210.579132,8.55,1.54,3.0,95.400002,77.790001,22.860001,129.240005,44.029999,81.41999799999999,42.549999,22.700001,14.03,54.150002,42.902167999999996,305.950012,317.549988,67.449997,21.83,6.53,40.150002,71.792824,12.22
2017-11-29,168.791809,109.339996,1161.27002,85.475403,129.690002,179.91000400000001,10.65,6100.0,235.49000499999997,167.300003,3.91,2.48,103.529999,28.049999,175.130005,50.549999,17.175825,1021.659973,19.450001,227.479996,53.07,37.830002,54.48,4.51,10.24,64.980003,2.23,14.81,188.149994,7.72,50.900002,21.01,196.298004,8.52,1.62,3.12,95.949997,73.25,22.809998999999998,124.489998,43.540001000000004,79.489998,39.130001,22.110001,13.19,52.0,40.736599,297.799988,307.540009,63.98,20.790001,6.51,40.669998,69.017403,12.32
2017-11-30,171.152191,109.699997,1176.75,87.669899,132.889999,177.080002,10.77,6100.0,238.580002,172.800003,3.95,2.45,104.32,28.870001000000002,177.179993,53.200001,16.714285,1021.409973,19.01,230.02999900000003,55.490002000000004,37.450001,54.619999,4.37,10.5,66.639999,2.1,14.6,187.580002,7.65,50.98,22.52,200.585342,8.74,1.51,3.19,96.199997,75.730003,22.780001000000002,126.760002,42.450001,80.089996,39.220001,21.780001000000002,14.85,51.18,40.387318,301.950012,308.850006,64.099998,20.58,6.78,41.52,69.14672900000001,12.19
2017-12-01,170.355438,107.059998,1162.349976,86.69830300000001,132.66000400000001,174.610001,10.79,6100.0,235.07000699999998,171.100006,3.89,2.45,103.83000200000001,29.870001000000002,175.100006,62.599998,18.296703,1010.169983,19.030001000000002,225.24000499999997,56.93,37.27,56.700001,4.3,10.55,67.349998,2.25,14.89,186.820007,7.62,50.259997999999996,23.0,197.55722,8.7,1.65,3.03,94.5,75.300003,23.440001000000002,125.260002,41.990002000000004,79.699997,38.220001,21.709999,15.4,49.029999,40.028048999999996,304.299988,306.52999900000003,64.599998,20.709999,6.69,40.599998,67.883362,12.11
2017-12-04,169.11051899999998,107.949997,1133.949951,87.360001,134.509995,169.580002,10.44,6000.0,229.66000400000001,162.300003,3.73,2.35,99.849998,27.76,171.470001,62.25,20.05489,998.679993,18.190001000000002,213.44999700000002,52.259997999999996,36.75,54.66,4.37,9.9,64.790001,2.29,14.74,184.03999299999998,7.51,48.52,21.59,186.54406699999998,8.56,1.55,2.99,96.0,70.970001,24.690001000000002,120.309998,41.060001,77.68,36.869999,20.76,14.6,48.84,39.159828000000005,303.399994,305.200012,58.580002,20.4,6.63,40.360001000000004,67.803787,11.92
2017-12-05,168.95117199999999,106.589996,1141.569946,88.769997,133.850006,168.96000700000002,10.34,5920.0,231.75,162.649994,3.67,2.45,100.690002,27.290001,172.830002,58.900002,17.295385,1005.150024,18.66,211.059998,52.459998999999996,37.299999,53.200001,4.25,9.87,64.989998,2.2,15.24,184.21000700000002,7.29,47.75,21.16,187.623398,8.49,1.49,2.88,97.349998,71.199997,24.73,120.870003,41.209998999999996,78.010002,37.599998,21.43,13.4,48.02,39.588947,305.200012,303.700012,58.75,20.77,6.35,39.959998999999996,68.062424,11.66
2017-12-06,168.323715,106.91999799999999,1152.349976,85.360001,133.779999,172.630005,10.21,5920.0,231.149994,159.399994,3.61,2.42,102.91999799999999,25.174999,176.059998,58.299999,18.373627,1018.3800050000001,19.0,213.979996,52.540001000000004,37.82,54.560001,4.25,9.79,64.58000200000001,2.46,14.11,185.300003,7.46,48.389998999999996,20.620001000000002,189.142456,8.5,1.43,2.81,97.650002,73.139999,25.07,121.940002,41.07,80.449997,37.610001000000004,21.15,12.65,47.630001,39.878357,306.899994,313.26001,58.400002,21.09,6.29,39.049999,68.032578,11.4
2017-12-07,168.632477,109.610001,1159.790039,84.379997,135.550003,174.470001,10.29,5910.0,233.00999500000003,167.899994,3.65,2.5,104.07,25.780001000000002,180.139999,62.25,20.000110999999997,1030.930054,19.190001000000002,214.669998,53.93,38.130001,56.73,3.59,10.06,65.470001,2.73,14.05,185.199997,7.4,49.84,21.139999,191.870758,8.68,1.43,2.77,96.900002,73.690002,24.32,123.800003,41.639998999999996,80.550003,38.73,21.52,12.875,48.599998,40.217663,311.25,311.23999,61.450001,21.01,6.41,39.5,68.63938900000001,11.46
2017-12-08,168.682251,107.160004,1162.0,85.220001,131.860001,177.619995,10.25,5910.0,234.58999599999999,171.149994,3.64,2.45,103.440002,24.959999,179.0,67.099998,18.130770000000002,1037.050049,19.24,217.649994,54.599998,38.009997999999996,58.650002,3.51,10.2,66.230003,2.74,13.68,188.53999299999998,7.55,48.299999,21.219998999999998,191.371078,8.64,1.39,2.77,95.099998,72.910004,24.110001,125.290001,41.619999,80.41999799999999,38.09,21.27,12.37,50.48,40.427231,315.049988,315.130005,60.290001000000004,21.1,6.46,40.099998,68.18180100000001,11.01
2017-12-11,171.968857,106.83000200000001,1168.920044,85.889999,131.850006,179.28999299999998,10.56,5910.0,233.539993,201.800003,3.62,2.5,104.540001,23.6,179.03999299999998,63.799999,20.332307999999998,1041.099976,19.58,214.11000099999998,53.139998999999996,38.459998999999996,50.240002000000004,3.89,10.19,66.459999,3.27,12.97,186.220001,7.54,48.98,19.139999,194.539108,8.45,1.39,2.74,94.0,73.290001,24.540001,126.620003,41.779999,81.389999,38.299999,20.940001000000002,8.45,52.130001,40.377334999999995,308.899994,328.910004,61.799999,22.049999,6.46,40.48,68.02262900000001,10.4
2017-12-12,171.002792,106.33000200000001,1165.079956,85.66999799999999,131.470001,174.639999,10.66,6250.0,232.729996,190.949997,3.62,2.5,103.66999799999999,23.58,176.96000700000002,62.450001,24.978022,1040.47998,19.76,212.63999900000002,53.349998,38.560001,45.75,4.21,9.85,66.379997,3.85,12.3,185.729996,7.55,48.029999,18.295,190.721466,8.21,1.38,2.77,95.849998,73.620003,26.940001000000002,125.75,41.459998999999996,80.16999799999999,38.080002,21.52,9.52,50.490002000000004,40.866333000000004,312.649994,341.02999900000003,62.549999,21.65,6.44,40.200001,67.32629399999999,10.38
2017-12-13,171.570496,106.019997,1164.130005,83.559998,132.220001,176.470001,10.65,6680.0,233.24000499999997,184.899994,3.8,2.5,103.940002,24.370001000000002,178.300003,61.75,25.65934,1040.609985,20.27,214.55000299999998,53.57,40.799999,47.41,4.02,10.08,66.82,3.96,12.63,187.860001,7.8,48.73,17.709999,186.06436200000002,8.46,1.42,2.74,99.300003,74.089996,24.290001,126.489998,41.490002000000004,80.440002,36.189999,21.59,9.08,51.25,40.746582000000004,325.600006,339.02999900000003,64.230003,21.66,6.37,40.049999,67.674461,10.21
2017-12-14,171.520691,106.25,1174.26001,83.050003,133.800003,171.75,10.67,7000.0,231.82000699999998,184.350006,3.71,2.5,104.239998,24.42,178.389999,59.400002,26.098791000000002,1049.150024,19.860001,210.850006,51.560001,40.630001,44.169998,3.99,9.84,64.360001,3.81,12.51,189.559998,7.71,47.779999,17.389999,186.35418700000002,8.33,1.38,2.74,98.949997,74.260002,25.299999,126.129997,40.369999,81.190002,37.009997999999996,21.68,8.98,50.540001000000004,40.936192,334.700012,337.890015,63.84,22.58,6.295,40.27,67.714256,9.52
2017-12-15,173.26358000000002,108.400002,1179.140015,84.400002,135.970001,173.550003,10.84,6550.0,233.479996,182.949997,3.69,2.8,105.480003,25.0,180.179993,58.450001,29.659340000000004,1064.189941,19.959999,216.55000299999998,52.43,40.32,44.68,4.03,9.95,66.639999,4.2,13.68,190.119995,7.84,48.259997999999996,18.370001000000002,191.441025,8.55,1.41,2.66,100.349998,75.650002,26.01,128.779999,40.029999,82.459999,37.029999,22.450001,8.99,50.310001,41.794434,344.350006,343.450012,65.510002,22.23,6.44,39.950001,67.624725,9.11
2017-12-18,175.703629,107.480003,1190.579956,84.239998,135.759995,173.369995,10.94,6540.0,240.92999300000002,184.350006,3.71,2.8,105.08000200000001,25.120001000000002,180.820007,63.700001,38.054947,1077.140015,20.99,217.289993,52.290001000000004,41.68,43.669998,4.14,10.2,65.769997,5.71,13.8,190.419998,7.73,47.939999,18.540001,197.777084,8.55,1.45,2.74,105.800003,75.32,25.9,129.440002,40.560001,83.540001,37.75,21.85,9.89,51.099998,42.283432,352.5,338.869995,67.209999,24.68,6.54,40.759997999999996,69.176575,9.05
2017-12-19,173.831268,105.389999,1187.380005,85.620003,133.940002,171.279999,10.87,6220.0,235.61999500000002,182.100006,3.6,2.75,104.260002,24.58,179.509995,64.0,33.197693,1070.680054,20.1,214.74000499999997,50.93,42.970001,43.75,4.05,10.14,65.699997,7.1,13.73,187.020004,7.65,47.060001,18.190001000000002,195.988205,8.56,1.46,2.84,104.900002,74.5,26.25,128.860001,39.98,84.209999,36.919998,21.440001000000002,9.5,50.869999,42.373249,337.450012,331.100006,66.75,25.08,6.6,41.009997999999996,69.435211,9.09
