date,fund,company,ticker,weight(%)
2/2/18,ARKG      ,INTELLIA THERAPEUTICS INC,NTLA,8.38
2/2/18,ARKG      ,ILLUMINA INC,ILMN,7.23
2/2/18,ARKG      ,EDITAS MEDICINE INC,EDIT,6.91
2/2/18,ARKG      ,INVITAE CORP,NVTA,5.31
2/2/18,ARKG      ,IONIS PHARMACEUTICALS INC,IONS,4.52
2/2/18,ARKG      ,BLUEBIRD BIO INC,BLUE,4.04
2/2/18,ARKG      ,BIOGEN INC,BIIB,3.94
2/2/18,ARKG      ,ATHENAHEALTH INC,ATHN,3.94
2/2/18,ARKG      ,CELGENE CORP,CELG,3.47
2/2/18,ARKG      ,GILEAD SCIENCES INC,GILD,3.38
2/2/18,ARKG      ,MEDIDATA SOLUTIONS INC,MDSO,3.21
2/2/18,ARKG      ,SERES THERAPEUTICS INC,MCRB,3
2/2/18,ARKG      ,VERACYTE INC,VCYT,2.8
2/2/18,ARKG      ,CERUS CORP,CERS,2.71
2/2/18,ARKG      ,PACIFIC BIOSCIENCES OF CALIF,PACB,2.7
2/2/18,ARKG      ,SYROS PHARMACEUTICALS INC,SYRS,2.59
2/2/18,ARKG      ,COMPUGEN LTD,CGEN,2.5
2/2/18,ARKG      ,JOUNCE THERAPEUTICS INC,JNCE,2.49
2/2/18,ARKG      ,CRISPR THERAPEUTICS AG,CRSP,2.34
2/2/18,ARKG      ,CELLECTIS - ADR,CLLS,2.33
2/2/18,ARKG      ,INOVIO PHARMACEUTICALS INC,INO,2.31
2/2/18,ARKG      ,FOUNDATION MEDICINE INC,FMI,2.17
2/2/18,ARKG      ,INCYTE CORP,INCY,2.01
2/2/18,ARKG      ,NANOSTRING TECHNOLOGIES INC,NSTG,1.96
2/2/18,ARKG      ,FIVE PRIME THERAPEUTICS INC,FPRX,1.75
2/2/18,ARKG      ,REGENERON PHARMACEUTICALS,REGN,1.68
2/2/18,ARKG      ,ORGANOVO HOLDINGS INC,ONVO,1.59
2/2/18,ARKG      ,IOVANCE BIOTHERAPEUTICS INC,IOVA,1.43
2/2/18,ARKG      ,ALNYLAM PHARMACEUTICALS INC,ALNY,1.43
2/2/18,ARKG      ,NVIDIA CORP,NVDA,1.23
2/2/18,ARKG      ,ARCTURUS THERAPEUTICS LTD,ARCT,1.09
2/2/18,ARKG      ,APPLE INC,AAPL,1.02
2/2/18,ARKG      ,DOWDUPONT INC,DWDP,0.98
2/2/18,ARKG      ,PLURISTEM THERAPEUTICS INC,PSTI,0.97
2/2/18,ARKG      ,AQUABOUNTY TECHNOLOGIES,AQB,0.22
2/2/18,ARKG      ,EVOGENE LTD,EVGN,0.2
2/2/18,ARKG      ,MORGAN STANLEY GOVT INSTL 8035,,0.18
