date,fund,company,ticker,weight(%)
2/2/18,ARKK      ,TESLA INC,TSLA,6
2/2/18,ARKK      ,STRATASYS LTD,SSYS,5.36
2/2/18,ARKK      ,INTELLIA THERAPEUTICS INC,NTLA,5.05
2/2/18,ARKK      ,ATHENAHEALTH INC,ATHN,4.62
2/2/18,ARKK      ,TWITTER INC,TWTR,4.62
2/2/18,ARKK      ,ILLUMINA INC,ILMN,4.25
2/2/18,ARKK      ,EDITAS MEDICINE INC,EDIT,3.78
2/2/18,ARKK      ,AMAZON.COM INC,AMZN,3.3
2/2/18,ARKK      ,BLUEBIRD BIO INC,BLUE,2.75
2/2/18,ARKK      ,NETFLIX INC,NFLX,2.47
2/2/18,ARKK      ,SQUARE INC - A,SQ,2.31
2/2/18,ARKK      ,INVITAE CORP,NVTA,2.16
2/2/18,ARKK      ,MEDIDATA SOLUTIONS INC,MDSO,2.15
2/2/18,ARKK      ,IONIS PHARMACEUTICALS INC,IONS,2.03
2/2/18,ARKK      ,LENDINGCLUB CORP,LC,2.02
2/2/18,ARKK      ,APTIV PLC,APTV,1.93
2/2/18,ARKK      ,CERUS CORP,CERS,1.92
2/2/18,ARKK      ,SALESFORCE.COM INC,CRM,1.89
2/2/18,ARKK      ,JD.COM INC-ADR,JD,1.78
2/2/18,ARKK      ,NVIDIA CORP,NVDA,1.78
2/2/18,ARKK      ,BAIDU INC - SPON ADR,BIDU,1.76
2/2/18,ARKK      ,SERES THERAPEUTICS INC,MCRB,1.72
2/2/18,ARKK      ,NANOSTRING TECHNOLOGIES INC,NSTG,1.61
2/2/18,ARKK      ,XILINX INC,XLNX,1.57
2/2/18,ARKK      ,RED HAT INC,RHT,1.54
2/2/18,ARKK      ,ALPHABET INC-CL C,GOOG,1.54
2/2/18,ARKK      ,TERADYNE INC,TER,1.49
2/2/18,ARKK      ,REDFIN CORP,RDFN,1.43
2/2/18,ARKK      ,AUTODESK INC,ADSK,1.41
2/2/18,ARKK      ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,1.31
2/2/18,ARKK      ,FACEBOOK INC-A,FB,1.31
2/2/18,ARKK      ,SYROS PHARMACEUTICALS INC,SYRS,1.23
2/2/18,ARKK      ,PAYPAL HOLDINGS INC,PYPL,1.18
2/2/18,ARKK      ,SPLUNK INC,SPLK,1.1
2/2/18,ARKK      ,VERACYTE INC,VCYT,1.1
2/2/18,ARKK      ,2U INC,TWOU,1.07
2/2/18,ARKK      ,ALIBABA GROUP HOLDING-SP ADR,BABA,1.06
2/2/18,ARKK      ,MATERIALISE NV-ADR,MTLS,1.05
2/2/18,ARKK      ,LENDINGTREE INC,TREE,1.04
2/2/18,ARKK      ,ORGANOVO HOLDINGS INC,ONVO,1.04
2/2/18,ARKK      ,PROTO LABS INC,PRLB,1.02
2/2/18,ARKK      ,NINTENDO CO LTD-UNSPONS ADR,NTDOY,1.02
2/2/18,ARKK      ,FOUNDATION MEDICINE INC,FMI,1.01
2/2/18,ARKK      ,SOFTBANK GROUP CORP-UNSP ADR,SFTBY,1.01
2/2/18,ARKK      ,COMPUGEN LTD,CGEN,0.97
2/2/18,ARKK      ,HORTONWORKS INC,HDP,0.96
2/2/18,ARKK      ,APPLE INC,AAPL,0.95
2/2/18,ARKK      ,EXONE CO/THE,XONE,0.94
2/2/18,ARKK      ,VOLKSWAGEN AG-SPONS ADR,VLKAY,0.94
2/2/18,ARKK      ,PACIFIC BIOSCIENCES OF CALIF,PACB,0.77
2/2/18,ARKK      ,BITCOIN INVESTMENT TRUST,GBTC,0.73
2/2/18,ARKK      ,MORGAN STANLEY GOVT INSTL 8035,,0.49
2/2/18,ARKK      ,MGT CAPITAL INVESTMENTS INC,MGTI,0.4
2/2/18,ARKK      ,BLACKBERRY LTD,BB,0.02
2/2/18,ARKK      ,BITCOIN GOLD RECEIVABLE,BCG,0.02
2/2/18,ARKK      ,JUNO THERAPEUTICS INC,JUNO,0.02
