date,fund,company,ticker,weight(%)
02/02/18,ARKQ      ,TESLA INC,TSLA,9.53
02/02/18,ARKQ      ,STRATASYS LTD,SSYS,8.96
02/02/18,ARKQ      ,AMAZON.COM INC,AMZN,5.03
02/02/18,ARKQ      ,BAIDU INC - SPON ADR,BIDU,4.64
02/02/18,ARKQ      ,NVIDIA CORP,NVDA,4.28
02/02/18,ARKQ      ,APTIV PLC,APTV,3.83
02/02/18,ARKQ      ,ALPHABET INC-CL C,GOOG  U,3.38
02/02/18,ARKQ      ,PROTO LABS INC,PRLB,3.1
02/02/18,ARKQ      ,MATERIALISE NV-ADR,MTLS,3.07
02/02/18,ARKQ      ,JD.COM INC-ADR,JD,2.97
02/02/18,ARKQ      ,TERADYNE INC,TER,2.93
02/02/18,ARKQ      ,ALIGN TECHNOLOGY INC,ALGN,2.74
02/02/18,ARKQ      ,2U INC,TWOU,2.53
02/02/18,ARKQ      ,SOFTBANK GROUP CORP-UNSP ADR,SFTBY,2.23
02/02/18,ARKQ      ,FANUC CORP-UNSP ADR,FANUY,2.23
02/02/18,ARKQ      ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,2.2
02/02/18,ARKQ      ,XILINX INC,XLNX,2.18
02/02/18,ARKQ      ,MAZOR ROBOTICS LTD-SPON ADR,MZOR,2.15
02/02/18,ARKQ      ,SPLUNK INC,SPLK,2.07
02/02/18,ARKQ      ,AUTODESK INC,ADSK,2.07
02/02/18,ARKQ      ,TOYOTA MOTOR CORP -SPON ADR,TM,1.98
02/02/18,ARKQ      ,GENERAL MOTORS CO,GM,1.97
02/02/18,ARKQ      ,TRIMBLE INC,TRMB,1.79
02/02/18,ARKQ      ,AEROVIRONMENT INC,AVAV,1.74
02/02/18,ARKQ      ,EXONE CO/THE,XONE,1.42
02/02/18,ARKQ      ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1.4
02/02/18,ARKQ      ,DEERE & CO,DE,1.37
02/02/18,ARKQ      ,ELBIT SYSTEMS LTD,ESLT,1.3
02/02/18,ARKQ      ,BLACKBERRY LTD,BB,1.27
02/02/18,ARKQ      ,APPLE INC,AAPL,1.13
02/02/18,ARKQ      ,ANSYS INC,ANSS,1.09
02/02/18,ARKQ      ,COGNEX CORP,CGNX,1.07
02/02/18,ARKQ      ,ORGANOVO HOLDINGS INC,ONVO,1.07
02/02/18,ARKQ      ,ALLIED MOTION TECHNOLOGIES,AMOT,1.06
02/02/18,ARKQ      ,CORNERSTONE ONDEMAND INC,CSOD,1.03
02/02/18,ARKQ      ,ROCKWELL AUTOMATION INC,ROK,1.02
02/02/18,ARKQ      ,GEELY AUTOMOBILE-UNSPON ADR,GELYY,1
02/02/18,ARKQ      ,RAKUTEN INC-ADR,RKUNY,0.99
02/02/18,ARKQ      ,DAIMLER AG-UNSPONSORED ADR,DMLRY,0.99
02/02/18,ARKQ      ,ALBEMARLE CORP,ALB,0.98
02/02/18,ARKQ      ,PLUG POWER INC,PLUG,0.67
02/02/18,ARKQ      ,WALMART INC,WMT,0.53
02/02/18,ARKQ      ,INFINEON TECHNOLOGIES-ADR,IFNNY,0.48
02/02/18,ARKQ      ,BITCOIN INVESTMENT TRUST,GBTC,0.19
02/02/18,ARKQ      ,NANO DIMENSION LTD - ADR,NNDM,0.17
02/02/18,ARKQ      ,MORGAN STANLEY GOVT INSTL 8035,,0.15
02/02/18,ARKQ      ,SIGMA LABS INC,SGLB UR,0.02
02/02/18,ARKQ      ,BITCOIN GOLD RECEIVABLE,BCG,0.01
