date,fund,company,ticker,weight(%)
02/02/18,ARKW      ,AMAZON.COM INC,AMZN,6.97
02/02/18,ARKW      ,NETFLIX INC,NFLX,4.98
02/02/18,ARKW      ,TWITTER INC,TWTR,4.75
02/02/18,ARKW      ,ATHENAHEALTH INC,ATHN,4.65
02/02/18,ARKW      ,NVIDIA CORP,NVDA,4.23
02/02/18,ARKW      ,TESLA INC,TSLA,3.92
02/02/18,ARKW      ,2U INC,TWOU,3.89
02/02/18,ARKW      ,SQUARE INC - A,SQ,3.18
02/02/18,ARKW      ,JD.COM INC-ADR,JD,3.06
02/02/18,ARKW      ,MERCADOLIBRE INC,MELI,3.03
02/02/18,ARKW      ,ALPHABET INC-CL C,GOOG  U,2.94
02/02/18,ARKW      ,SALESFORCE.COM INC,CRM,2.8
02/02/18,ARKW      ,FACEBOOK INC-A,FB,2.76
02/02/18,ARKW      ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,2.73
02/02/18,ARKW      ,BAIDU INC - SPON ADR,BIDU,2.7
02/02/18,ARKW      ,APPLE INC,AAPL,2.65
02/02/18,ARKW      ,ALIBABA GROUP HOLDING-SP ADR,BABA,2.6
02/02/18,ARKW      ,SOFTBANK GROUP CORP-UNSP ADR,SFTBY,2.53
02/02/18,ARKW      ,SPLUNK INC,SPLK,2.41
02/02/18,ARKW      ,RED HAT INC,RHT,2.32
02/02/18,ARKW      ,LENDINGCLUB CORP,LC,2.3
02/02/18,ARKW      ,HUBSPOT INC,HUBS,2.21
02/02/18,ARKW      ,MEDIDATA SOLUTIONS INC,MDSO,2.15
02/02/18,ARKW      ,HORTONWORKS INC,HDP,2.14
02/02/18,ARKW      ,XILINX INC,XLNX,2.06
02/02/18,ARKW      ,SHOPIFY INC - CLASS A,SHOP,1.91
02/02/18,ARKW      ,REDFIN CORP,RDFN,1.8
02/02/18,ARKW      ,PAYPAL HOLDINGS INC,PYPL,1.64
02/02/18,ARKW      ,TWILIO INC - A,TWLO,1.62
02/02/18,ARKW      ,ADOBE SYSTEMS INC,ADBE,1.53
02/02/18,ARKW      ,SERVICENOW INC,NOW,1.39
02/02/18,ARKW      ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,1.21
02/02/18,ARKW      ,BOX INC - CLASS A,BOX,1.19
02/02/18,ARKW      ,VERACYTE INC,VCYT,1.18
02/02/18,ARKW      ,LENDINGTREE INC,TREE UW,1.11
02/02/18,ARKW      ,NINTENDO CO LTD-UNSPONS ADR,NTDOY,1.05
02/02/18,ARKW      ,MICROSOFT CORP,MSFT,1.03
02/02/18,ARKW      ,AKAMAI TECHNOLOGIES INC,AKAM,1.02
02/02/18,ARKW      ,BITCOIN INVESTMENT TRUST,GBTC,0.94
02/02/18,ARKW      ,TELADOC INC,TDOC,0.46
02/02/18,ARKW      ,MGT CAPITAL INVESTMENTS INC,MGTI,0.45
02/02/18,ARKW      ,MORGAN STANLEY GOVT INSTL 8035,,0.29
02/02/18,ARKW      ,IMPINJ INC,PI,0.19
02/02/18,ARKW      ,BITCOIN GOLD RECEIVABLE,BCG,0.03
02/02/18,ARKW      ,CTRIP.COM INTERNATIONAL-ADR,CTRP,0.02
02/02/18,ARKW      ,MELLANOX TECHNOLOGIES LTD,MLNX,0.01
