"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"DWDP","DowDuPont Inc.","22.90%","69.80","-0.99","-1.40%","2.67 M","59.29 - 77.08",
"MON","Monsanto Co.","8.04%","123.01","-0.36","-0.29%","2.72 M","111.92 - 124.20",
"PX","Praxair Inc","6.53%","154.10","+0.45","+0.29%","543.21 K","115.67 - 166.95",
"APD","Air Products & Chemicals Inc","5.33%","163.48","-0.72","-0.44%","231.52 K","133.63 - 175.17",
"LYB","LyondellBasell Industries N.V.","5.28%","108.18","-1.56","-1.42%","666.25 K","78.01 - 121.95",
"ECL","Ecolab Inc","4.52%","132.00","+0.99","+0.76%","884.19 K","122.58 - 140.50",
"SHW","Sherwin-Williams Co","4.52%","404.70","+3.67","+0.92%","284.89 K","305.70 - 435.15",
"PPG","PPG Industries Inc","4.42%","114.34","-0.73","-0.63%","483.97 K","100.34 - 122.07",
"FCX","Freeport-McMoRan Inc","3.82%","18.22","-0.48","-2.57%","4.99 M","11.05 - 20.25",
"IP","Intl Paper Co","3.62%","54.67","-3.03","-5.25%","3.15 M","49.60 - 66.94",
"NUE","Nucor Corp","3.29%","69.16","+1.38","+2.04%","1.77 M","51.67 - 70.48",
"NEM","Newmont Mining Corp","3.17%","37.97","-0.74","-1.91%","1.81 M","31.42 - 42.04",
"WRK","WestRock Co","2.61%","65.57","-0.84","-1.26%","426.56 K","49.23 - 71.55",
"VMC","Vulcan Materials Co","2.43%","119.17","-0.24","-0.20%","400.99 K","108.95 - 141.20",
"EMN","Eastman Chemical Co","2.37%","105.14","-0.68","-0.64%","582.96 K","76.02 - 106.32",
"BLL","Ball Corp","2.21%","40.66","+0.10","+0.23%","966.75 K","35.60 - 43.24",
"MLM","Martin Marietta Materials","2.04%","208.81","+0.18","+0.08%","248.22 K","191.09 - 244.32",
"PKG","Packaging Corp of America","1.77%","117.33","-1.75","-1.47%","220.37 K","88.47 - 131.13",
"FMC","FMC Corp","1.73%","82.05","-0.37","-0.45%","526.91 K","58.27 - 98.70",
"IFF","Intl Flavors & Fragrances","1.73%","139.30","-0.33","-0.24%","262.19 K","123.15 - 157.40",
"ALB","Albemarle Corp","1.72%","99.18","-0.96","-0.96%","689.70 K","90.49 - 144.99",
"AVY","Avery Dennison Corp","1.60%","114.68","+0.16","+0.14%","280.09 K","78.47 - 123.67",
"CF","CF Industries Holdings","1.60%","41.68","-1.52","-3.52%","1.68 M","25.04 - 45.00",
"MOS","Mosaic Co","1.55%","27.07","-0.67","-2.42%","1.59 M","19.23 - 30.49",
"SEE","Sealed Air Corp","1.19%","43.83","-0.56","-1.26%","739.39 K","40.76 - 49.94",
