"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AAPL","Apple Inc.","14.35%","174.87","-1.80","-1.02%","14.52 M","137.05 - 180.62",
"MSFT","Microsoft Corp","11.39%","92.79","-0.53","-0.57%","10.82 M","64.12 - 96.07",
"FB","Facebook Inc A","6.78%","181.52","+1.74","+0.97%","8.33 M","136.99 - 195.32",
"GOOG","Alphabet Inc C","5.23%","1093.80","-1.26","-0.11%","431.83 K","803.37 - 1186.89",
"GOOGL","Alphabet Inc A","5.19%","1096.21","-4.69","-0.43%","621.23 K","824.30 - 1198.00",
"INTC","Intel Corp","3.77%","50.65","-0.06","-0.12%","15.68 M","33.23 - 51.33",
"T","AT&T Inc","3.58%","36.69","-0.18","-0.48%","7.89 M","32.55 - 42.70",
"V","Visa Inc A","3.49%","120.37","-0.69","-0.57%","2.34 M","87.85 - 126.88",
"CSCO","Cisco Systems Inc","3.48%","43.95","-0.34","-0.77%","8.01 M","30.36 - 45.89",
"VZ","Verizon Communications Inc","2.64%","48.70","-0.20","-0.40%","6.14 M","42.80 - 54.77",
"MA","Mastercard Inc A","2.63%","176.32","-1.21","-0.68%","888.32 K","110.13 - 180.09",
"ORCL","Oracle Corp","2.49%","51.25","-0.26","-0.50%","4.12 M","42.25 - 53.14",
"NVDA","Nvidia Corp","2.38%","240.40","-1.76","-0.73%","8.79 M","95.49 - 251.97",
"IBM","Intl Business Machines Corp","2.13%","156.41","+0.69","+0.44%","1.39 M","139.13 - 181.29",
"TXN","Texas Instruments Inc","1.73%","107.45","-2.24","-2.04%","1.36 M","75.92 - 120.75",
"ADBE","Adobe Systems Inc","1.67%","213.50","+1.49","+0.70%","1.16 M","119.11 - 213.44",
"AVGO","Broadcom Limited","1.63%","245.41","-5.56","-2.21%","1.47 M","208.44 - 285.68",
"ACN","Accenture plc A","1.56%","156.92","-1.12","-0.71%","1.08 M","114.82 - 165.58",
"QCOM","QUALCOMM Inc","1.46%","61.59","-0.56","-0.89%","4.91 M","48.92 - 69.28",
"PYPL","PayPal Holdings Inc.","1.44%","78.37","-0.86","-1.09%","2.30 M","41.74 - 86.32",
"CRM","Salesforce.com","1.37%","124.64","+0.16","+0.13%","2.52 M","80.50 - 124.69",
"AMAT","Applied Materials Inc","1.04%","59.34","-0.65","-1.08%","9.70 M","36.75 - 60.89",
"MU","Micron Technology Inc","1.02%","53.60","-0.14","-0.26%","40.11 M","24.81 - 54.64",
"ATVI","Activision Blizzard Inc","0.91%","73.03","-0.89","-1.20%","2.41 M","47.57 - 75.48",
"ADP","Automatic Data Processing","0.82%","113.89","-1.52","-1.32%","389.21 K","95.50 - 125.24",
"CTSH","Cognizant Tech Solutions Corp","0.79%","82.72","-0.35","-0.42%","873.60 K","57.00 - 83.79",
"EBAY","eBay Inc.","0.68%","43.71","+0.57","+1.32%","3.51 M","31.89 - 46.99",
"INTU","Intuit Inc","0.66%","169.05","-0.41","-0.24%","472.15 K","114.80 - 177.51",
"HPQ","HP Inc","0.65%","23.77","-0.18","-0.75%","2.86 M","17.03 - 24.15",
"EA","Electronic Arts","0.62%","125.73","+1.18","+0.95%","1.08 M","87.10 - 131.01",
"TEL","TE Connectivity Ltd.","0.58%","101.16","-0.78","-0.76%","807.50 K","71.93 - 108.23",
"LRCX","Lam Research Corp","0.56%","208.51","+0.57","+0.27%","3.37 M","116.94 - 219.70",
"ADI","Analog Devices Inc","0.55%","90.82","-1.11","-1.21%","537.91 K","74.65 - 98.38",
"FIS","Fidelity National Information","0.54%","98.05","-0.66","-0.67%","315.73 K","78.89 - 103.65",
"HPE","Hewlett Packard Enterprise Co","0.50%","19.14","-0.28","-1.42%","4.75 M","12.82 - 19.48",
"FISV","Fiserv Inc","0.49%","144.00","-0.22","-0.15%","227.02 K","113.29 - 147.43",
"WDC","Western Digital Corp","0.46%","95.48","+1.68","+1.79%","3.61 M","71.38 - 95.77",
"DXC","DXC Technology Company","0.46%","101.41","-0.44","-0.43%","332.00 K","67.76 - 105.00",
"APH","Amphenol Corp A","0.45%","89.14","-0.62","-0.69%","342.97 K","68.57 - 93.62",
"ADSK","Autodesk Inc","0.44%","135.45","+15.58","+13.00%","7.87 M","81.75 - 131.10",
"RHT","Red Hat Inc","0.44%","152.27","+2.55","+1.70%","797.22 K","80.93 - 152.31",
