"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"PG","Procter & Gamble","11.45%","79.12","-0.90","-1.12%","3.02 M","77.90 - 94.67",
"KO","Coca-Cola Co","9.46%","43.60","-0.33","-0.75%","3.23 M","41.74 - 48.62",
"PM","Philip Morris International","9.42%","106.77","-1.21","-1.12%","1.05 M","96.66 - 123.55",
"PEP","PepsiCo Inc","8.75%","109.32","-0.26","-0.24%","1.34 M","106.19 - 122.51",
"WMT","Walmart Inc.","7.32%","87.53","-1.53","-1.72%","5.18 M","69.33 - 109.98",
"COST","Costco Wholesale Corp","4.81%","187.89","-3.58","-1.87%","1.20 M","150.00 - 199.88",
"MO","Altria Group Inc","4.33%","64.29","-0.48","-0.74%","2.99 M","60.01 - 77.79",
"CVS","CVS Health Corporation","3.95%","66.83","-0.82","-1.21%","2.87 M","66.45 - 84.00",
"MDLZ","Mondelez International Inc","3.93%","43.64","-1.93","-4.24%","12.49 M","39.19 - 47.23",
"CL","Colgate-Palmolive Co","3.53%","69.49","-0.15","-0.22%","919.10 K","68.19 - 77.91",
"WBA","Walgreens Boots Alliance Inc","3.50%","69.06","-0.74","-1.05%","1.41 M","63.82 - 87.79",
"KHC","The Kraft Heinz Company","2.36%","67.01","-0.76","-1.12%","1.38 M","66.36 - 93.88",
"KMB","Kimberly-Clark","2.33%","111.92","-1.13","-1.00%","406.88 K","109.51 - 135.22",
"STZ","Constellation Brands Inc A","2.26%","221.84","-0.72","-0.32%","456.47 K","155.11 - 229.50",
"EL","Estee Lauder Cos. A","1.91%","142.74","+0.06","+0.04%","637.11 K","82.35 - 143.63",
"SYY","Sysco Corp","1.74%","60.05","-0.82","-1.35%","546.56 K","48.85 - 64.27",
"GIS","General Mills Inc","1.72%","50.86","-0.20","-0.39%","1.73 M","49.65 - 61.34",
"KR","Kroger Co","1.50%","26.74","-1.28","-4.55%","7.13 M","19.69 - 31.45",
"ADM","Archer-Daniels-Midland Co","1.47%","43.02","-0.10","-0.23%","1.17 M","38.59 - 46.39",
"MNST","Monster Beverage Corp New","1.38%","55.17","-0.50","-0.90%","1.34 M","44.35 - 70.22",
"TSN","Tyson Foods Inc A","1.33%","74.24","+0.19","+0.26%","475.70 K","57.20 - 84.65",
"DPS","Dr Pepper Snapple Group","1.30%","116.27","+0.15","+0.13%","346.70 K","83.23 - 126.65",
"K","Kellogg Co","1.08%","69.47","-0.43","-0.62%","904.62 K","58.76 - 75.31",
"CLX","Clorox Co","1.05%","130.72","-1.61","-1.22%","360.35 K","124.09 - 150.40",
"CAG","Conagra Brands, Inc","0.98%","37.61","-0.68","-1.78%","2.02 M","32.16 - 41.65",
"BF.b","Brown-Forman Corp B","0.94%","53.22","-2.82","-5.03%","617.67 K","36.33 - 56.81",
"SJM","Smucker J.M. Co","0.94%","128.99","-0.69","-0.53%","253.64 K","99.57 - 140.44",
"TAP","Molson Coors Brewing Co B","0.92%","77.91","-0.88","-1.12%","341.83 K","72.71 - 99.65",
"HSY","Hershey Foods Corp","0.88%","98.86","-0.51","-0.51%","325.36 K","95.21 - 116.49",
"MKC","McCormick & Co","0.85%","109.13","-0.94","-0.85%","202.05 K","90.25 - 110.27",
"CHD","Church & Dwight Co","0.82%","50.14","-0.63","-1.24%","748.17 K","43.21 - 54.18",
"COTY","Coty Inc.","0.61%","19.20","-0.06","-0.29%","1.02 M","14.24 - 21.68",
"HRL","Hormel Foods Corp","0.60%","33.01","-0.42","-1.26%","642.92 K","29.75 - 38.00",
"CPB","Campbell Soup Co","0.57%","42.62","-1.28","-2.92%","1.07 M","41.78 - 59.61",
