"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AMT","American Tower Corp A","9.80%","139.32","+0.44","+0.32%","855.74 K","112.78 - 155.28",
"SPG","Simon Property Group A","8.07%","156.00","-1.63","-1.03%","523.46 K","150.15 - 179.09",
"CCI","Crown Castle Intl Corp","7.20%","107.53","-0.20","-0.19%","773.24 K","88.71 - 114.97",
"PLD","ProLogis Inc","5.40%","61.58","-0.02","-0.03%","660.05 K","48.80 - 67.53",
"EQIX","Equinix Inc","5.04%","391.69","+0.07","+0.02%","297.91 K","361.90 - 495.35",
"PSA","Public Storage","4.88%","197.66","-0.50","-0.25%","225.61 K","180.48 - 232.21",
"WY","Weyerhaeuser Co","4.25%","34.15","-0.09","-0.25%","1.39 M","30.95 - 37.89",
"AVB","AvalonBay Communities Inc","3.54%","157.90","+1.94","+1.24%","338.37 K","152.65 - 199.52",
"EQR","Equity Residential","3.44%","57.77","+0.88","+1.55%","1.22 M","54.97 - 70.46",
"DLR","Digital Realty Trust","3.42%","102.74","+1.56","+1.54%","759.16 K","96.56 - 127.23",
"WELL","Welltower Inc","3.22%","53.68","+0.82","+1.55%","1.11 M","51.63 - 78.17",
"BXP","Boston Properties Inc","3.10%","122.26","+0.16","+0.13%","186.96 K","111.57 - 137.35",
"SBAC","SBA Communications Corp","3.03%","157.64","+1.14","+0.73%","538.47 K","114.18 - 177.67",
"VTR","Ventas Inc","2.96%","51.01","+0.56","+1.11%","854.48 K","47.97 - 72.36",
"ESS","Essex Property Trust","2.50%","231.58","+1.53","+0.67%","197.09 K","214.03 - 270.04",
"CBG","CBRE Group Inc.","2.34%","46.39","-0.58","-1.22%","698.14 K","32.30 - 47.81",
"O","Realty Income Corp","2.34%","50.59","+0.05","+0.09%","418.26 K","47.25 - 62.31",
"HST","Host Hotels & Resorts Inc","2.22%","18.44","+0.24","+1.29%","4.52 M","17.26 - 21.53",
"GGP","GGP Inc","2.20%","21.09","-0.27","-1.26%","1.71 M","18.83 - 24.37",
"ARE","Alexandria Real Estate Eqty","2.09%","125.75","+0.34","+0.27%","136.25 K","106.89 - 134.37",
"VNO","Vornado Realty Trust","1.92%","67.32","-0.28","-0.41%","251.26 K","65.16 - 108.62",
"EXR","Extra Space Storage Inc","1.79%","86.20","-0.05","-0.06%","188.59 K","71.34 - 88.56",
"HCP","HCP Inc","1.72%","22.56","+0.27","+1.19%","1.57 M","21.48 - 33.67",
"MAA","Mid-America Apt Communties","1.61%","87.21","+0.99","+1.15%","715.64 K","85.16 - 110.95",
"SLG","SL Green Realty Corp","1.52%","99.95","+0.12","+0.12%","338.01 K","89.46 - 113.04",
"IRM","Iron Mountain Inc","1.50%","32.25","-0.14","-0.43%","336.60 K","30.95 - 41.53",
"UDR","UDR Inc","1.49%","34.05","+0.17","+0.50%","531.99 K","32.88 - 40.71",
"DRE","Duke Realty Corp","1.46%","25.14","+0.20","+0.80%","858.61 K","24.30 - 30.14",
"REG","Regency Centers Corp","1.44%","58.79","-0.16","-0.27%","219.59 K","54.87 - 70.64",
"FRT","Federal Realty Invt Trust","1.40%","117.30","+0.34","+0.29%","127.45 K","106.41 - 138.12",
"MAC","Macerich Co","1.06%","59.15","-0.03","-0.05%","363.44 K","52.12 - 69.73",
"KIM","Kimco Realty Corp","1.05%","15.14","+0.18","+1.20%","2.15 M","13.70 - 23.17",
"AIV","Apartment Investment & Mgmt","1.00%","38.94","+0.32","+0.83%","437.45 K","37.97 - 46.72",
