"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"JNJ","Johnson & Johnson","10.74%","127.94","-0.28","-0.22%","2.32 M","120.95 - 148.32",
"UNH","Unitedhealth Group Inc","6.89%","225.24","-0.94","-0.42%","1.24 M","162.74 - 250.79",
"PFE","Pfizer Inc","6.67%","35.64","-0.24","-0.67%","6.60 M","31.67 - 39.43",
"ABBV","AbbVie Inc.","5.69%","112.85","-1.71","-1.49%","1.99 M","62.97 - 125.86",
"MRK","Merck & Co Inc","4.63%","53.97","-0.34","-0.62%","2.76 M","53.12 - 66.41",
"AMGN","Amgen Inc","4.31%","187.24","-3.11","-1.63%","1.93 M","152.16 - 201.23",
"MDT","Medtronic plc","3.41%","80.79","+0.38","+0.47%","2.18 M","76.52 - 89.72",
"BMY","Bristol-Myers Squibb","3.36%","65.14","-0.33","-0.50%","2.15 M","51.56 - 70.05",
"GILD","Gilead Sciences Inc","3.23%","78.88","-0.44","-0.55%","2.73 M","63.76 - 89.54",
"ABT","Abbott Laboratories","2.80%","60.85","-0.03","-0.05%","2.38 M","42.31 - 64.60",
"TMO","Thermo Fisher Scientific","2.63%","210.32","+0.20","+0.10%","398.46 K","151.74 - 226.44",
"LLY","Lilly Eli & Co","2.33%","76.86","-0.33","-0.43%","691.15 K","73.69 - 89.09",
"CELG","Celgene Corp","2.19%","88.73","-0.44","-0.49%","3.20 M","86.55 - 147.17",
"BIIB","Biogen Inc","1.93%","282.33","-3.65","-1.28%","502.57 K","244.28 - 370.57",
"ANTM","Anthem Inc","1.91%","231.08","-1.67","-0.72%","278.90 K","158.67 - 267.95",
"DHR","Danaher Corp","1.87%","100.76","+3.01","+3.08%","1.90 M","78.97 - 104.82",
"AET","Aetna Inc","1.86%","177.79","-0.45","-0.25%","908.86 K","124.84 - 194.40",
"BDX","Becton Dickinson & Co","1.84%","216.29","-0.68","-0.31%","392.63 K","175.66 - 248.39",
"SYK","Stryker Corp","1.66%","161.96","-0.78","-0.48%","365.69 K","128.79 - 170.00",
"AGN","Allergan plc","1.65%","150.50","-0.21","-0.14%","1.23 M","142.81 - 256.80",
"CI","Cigna Corporation","1.54%","193.20","-0.93","-0.48%","363.94 K","143.85 - 227.13",
"ISRG","Intuitive Surgical Inc","1.49%","422.74","-3.77","-0.88%","221.73 K","242.26 - 452.00",
"ESRX","Express Scripts Holding Co.","1.39%","72.82","-1.76","-2.36%","2.73 M","55.80 - 83.49",
"VRTX","Vertex Pharmaceuticals Inc","1.33%","168.96","+0.24","+0.14%","477.89 K","88.90 - 174.96",
"HUM","Humana Inc","1.31%","271.16","-1.95","-0.71%","288.09 K","203.48 - 293.35",
"ZTS","Zoetis Inc","1.24%","81.29","-0.22","-0.27%","664.78 K","52.25 - 83.46",
"BSX","Boston Scientific Corp","1.18%","27.43","+0.02","+0.07%","1.37 M","24.02 - 29.93",
"ILMN","Illumina Inc","1.07%","239.14","+3.38","+1.43%","267.53 K","158.02 - 248.97",
"BAX","Baxter Intl Inc","1.06%","66.47","-0.54","-0.80%","707.05 K","50.35 - 72.58",
"MCK","McKesson Corp","1.01%","150.55","-0.62","-0.41%","279.84 K","133.82 - 178.86",
"EW","Edwards Lifesciences Corp","0.91%","136.85","-1.00","-0.73%","299.93 K","89.20 - 138.48",
"HCA","HCA Healthcare Inc","0.89%","101.38","+0.39","+0.39%","682.93 K","71.18 - 106.84",
"ALXN","Alexion Pharmaceuticals Inc","0.82%","116.87","-1.27","-1.07%","636.16 K","96.18 - 149.34",
"REGN","Regeneron Pharmaceuticals Inc","0.80%","329.80","-3.68","-1.10%","191.41 K","313.53 - 543.55",
"ZBH","Zimmer Biomet Holdings Inc","0.76%","119.01","+0.92","+0.78%","310.84 K","108.03 - 133.49",
"MYL","Mylan NV","0.72%","42.53","-0.70","-1.62%","2.06 M","29.39 - 47.82",
"CAH","Cardinal Health Inc","0.69%","69.58","-0.34","-0.49%","753.76 K","54.66 - 84.88",
"A","Agilent Technologies Inc","0.68%","68.74","+0.63","+0.93%","979.58 K","50.86 - 75.00",
"CERN","Cerner Corp","0.64%","64.90","-0.08","-0.12%","554.54 K","54.01 - 73.86",
"ALGN","Align Technology Inc","0.58%","257.99","+2.02","+0.79%","289.04 K","102.02 - 287.32",
"IDXX","IDEXX Laboratories Inc","0.56%","192.17","+1.58","+0.83%","135.64 K","145.24 - 198.73",
"LH","Lab Corp of America Hldgs","0.55%","171.82","-0.90","-0.52%","376.58 K","134.19 - 181.72",
"CNC","Centene Corp","0.54%","100.86","-0.17","-0.17%","288.88 K","65.03 - 112.42",
"WAT","Waters Corp","0.51%","205.37","+0.05","+0.02%","101.89 K","152.36 - 220.20",
"INCY","Incyte Corp","0.50%","91.35","+0.26","+0.29%","447.42 K","80.85 - 153.15",
"ABC","AmerisourceBergen Corp","0.49%","95.16","+0.46","+0.49%","492.39 K","71.90 - 106.27",
"MTD","Mettler-Toledo Intl","0.48%","605.24","-0.06","-0.01%","50.75 K","471.14 - 697.26",
"DGX","Quest Diagnostics","0.46%","105.07","+0.93","+0.89%","428.67 K","90.10 - 112.97",
"IQV","IQVIA Holdings Inc","0.46%","101.53","+0.87","+0.86%","279.54 K","76.80 - 110.67",
"RMD","ResMed Inc","0.43%","96.40","+0.22","+0.23%","102.32 K","67.04 - 104.78",
"XRAY","Dentsply Sirona Inc.","0.40%","56.16","-0.21","-0.37%","807.56 K","52.54 - 68.98",
"COO","Cooper Companies Inc","0.37%","241.44","+1.04","+0.43%","246.94 K","191.64 - 256.39",
"VAR","Varian Medical Systems Inc","0.35%","123.51","+0.07","+0.06%","147.07 K","85.47 - 130.29",
"DVA","DaVita Inc","0.34%","71.94","-0.12","-0.17%","395.85 K","52.51 - 80.71",
"PRGO","Perrigo Company plc","0.34%","82.70","+0.28","+0.34%","277.77 K","63.68 - 95.93",
"UHS","Universal Health Services B","0.34%","126.14","+1.19","+0.95%","367.25 K","95.26 - 128.49",
"HOLX","Hologic Inc","0.33%","38.49","+0.08","+0.21%","716.06 K","35.33 - 46.80",
"HSIC","Schein Henry Inc","0.32%","66.57","+0.54","+0.82%","716.54 K","62.56 - 93.50",
"PKI","PerkinElmer Inc","0.26%","75.95","+0.34","+0.45%","237.77 K","53.97 - 84.49",
"EVHC","Envision Healthcare Corp","0.17%","42.77","+1.07","+2.57%","1.51 M","23.77 - 67.73",
"PDCO","Patterson Cos Inc","0.06%","24.99","+0.34","+1.38%","1.13 M","22.57 - 48.30",
