"Holdings and weightings as of 5:39 PM ET 01/03/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"DWDP","DowDuPont Inc.","22.98%","74.45","+1.40","+1.92%","9.71 M","56.76 - 73.85",
"MON","Monsanto Co.","7.48%","117.93","+0.47","+0.40%","3.55 M","104.83 - 122.80",
"PX","Praxair Inc","6.51%","159.97","+2.47","+1.57%","1.90 M","115.00 - 157.69",
"LYB","LyondellBasell Industries N.V.","5.26%","112.80","+0.54","+0.48%","1.63 M","78.01 - 112.42",
"APD","Air Products & Chemicals Inc","5.25%","167.05","+0.64","+0.38%","932.37 K","133.63 - 166.62",
"SHW","Sherwin-Williams Co","4.55%","413.10","-2.26","-0.54%","556.54 K","271.98 - 415.77",
"ECL","Ecolab Inc","4.54%","136.47","+1.10","+0.81%","723.19 K","117.33 - 137.96",
"PPG","PPG Industries Inc","4.42%","117.47","-0.72","-0.61%","1.23 M","94.62 - 119.85",
"FCX","Freeport-McMoRan Inc","3.87%","19.74","+0.27","+1.39%","19.54 M","11.05 - 19.85",
"IP","Intl Paper Co","3.70%","61.58","+1.02","+1.68%","2.56 M","49.60 - 60.83",
"NUE","Nucor Corp","3.18%","67.22","-0.17","-0.25%","2.53 M","51.67 - 67.73",
"NEM","Newmont Mining Corp","3.00%","38.26","+0.42","+1.11%","3.88 M","31.42 - 39.63",
"VMC","Vulcan Materials Co","2.66%","133.38","-0.91","-0.68%","1.33 M","108.95 - 136.82",
"WRK","WestRock Co","2.50%","67.04","+1.64","+2.51%","2.20 M","49.23 - 66.00",
"ALB","Albemarle Corp","2.20%","130.22","-1.57","-1.19%","820.94 K","88.69 - 144.99",
"MLM","Martin Marietta Materials","2.16%","228.00","+0.50","+0.22%","797.62 K","191.09 - 244.32",
"EMN","Eastman Chemical Co","2.08%","96.51","+1.16","+1.22%","1.21 M","74.78 - 95.62",
"BLL","Ball Corp","2.05%","38.35","-0.18","-0.47%","2.17 M","35.65 - 43.24",
"FMC","FMC Corp","1.98%","97.45","+0.49","+0.51%","1.02 M","56.53 - 97.07",
"IFF","Intl Flavors & Fragrances","1.87%","153.76","-1.98","-1.27%","371.50 K","113.16 - 156.64",
"PKG","Packaging Corp of America","1.82%","128.08","+2.10","+1.67%","1.07 M","84.68 - 126.58",
"AVY","Avery Dennison Corp","1.58%","116.78","+0.77","+0.66%","528.95 K","69.97 - 117.92",
"CF","CF Industries Holdings","1.55%","43.60","+0.45","+1.04%","1.72 M","25.04 - 43.54",
"MOS","Mosaic Co","1.44%","26.82","+0.41","+1.55%","4.68 M","19.23 - 34.36",
"SEE","Sealed Air Corp","1.39%","49.57","+0.11","+0.22%","1.84 M","41.22 - 50.62",
