"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"XOM","Exxon Mobil Corp","22.45%","73.85","-2.33","-3.06%","12.37 M","73.90 - 89.30",
"CVX","Chevron Corp","16.77%","112.90","-0.75","-0.66%","2.89 M","102.55 - 133.88",
"SLB","Schlumberger Ltd","7.22%","65.36","-1.27","-1.91%","2.21 M","61.02 - 80.89",
"COP","ConocoPhillips","4.81%","53.84","-0.22","-0.41%","3.22 M","42.27 - 61.32",
"EOG","EOG Resources","4.61%","99.69","-1.33","-1.31%","1.41 M","81.99 - 119.00",
"OXY","Occidental Petroleum","3.97%","64.58","-1.08","-1.64%","1.70 M","57.20 - 78.09",
"VLO","Valero Energy Corp","3.20%","91.49","-0.23","-0.25%","918.40 K","60.69 - 99.95",
"HAL","Halliburton Co","3.19%","45.21","-0.71","-1.54%","2.49 M","38.18 - 57.86",
"PSX","Phillips 66","3.14%","93.72","-0.21","-0.22%","712.48 K","75.14 - 107.47",
"MPC","Marathon Petroleum Corp.","2.65%","67.07","-0.32","-0.47%","1.26 M","47.78 - 73.53",
"APC","Anadarko Petroleum Corp","2.60%","58.14","-0.67","-1.14%","1.76 M","39.96 - 64.17",
"KMI","Kinder Morgan Inc","2.48%","15.99","-0.12","-0.74%","3.50 M","15.86 - 21.96",
"PXD","Pioneer Natural Resources","2.33%","168.54","-1.42","-0.84%","586.79 K","125.46 - 196.00",
"OKE","ONEOK Inc","1.92%","56.68","-0.34","-0.60%","843.97 K","47.14 - 61.36",
"WMB","The Williams Companies Inc","1.86%","27.31","-0.32","-1.16%","1.98 M","26.65 - 33.67",
"CXO","Concho Resources Inc","1.84%","150.45","-0.91","-0.60%","312.69 K","106.73 - 162.91",
"DVN","Devon Energy Corp","1.35%","30.79","-0.54","-1.72%","3.06 M","28.79 - 45.16",
"NBL","Noble Energy Inc","1.26%","30.58","-0.12","-0.37%","1.86 M","22.99 - 36.97",
"NOV","National Oilwell Varco Inc","1.18%","35.95","-0.75","-2.04%","807.71 K","29.90 - 40.90",
"ANDV","Andeavor","1.15%","96.21","-0.22","-0.23%","789.62 K","75.11 - 121.71",
"APA","Apache Corp","1.12%","34.60","-0.76","-2.15%","1.85 M","33.60 - 54.64",
"FTI","TechnipFMC Ltd","1.11%","29.38","-0.60","-2.00%","1.21 M","24.53 - 35.00",
"HES","Hess Corp","1.11%","46.19","-2.29","-4.72%","1.95 M","37.25 - 55.48",
"EQT","EQT Corporation","1.07%","50.90","-0.92","-1.78%","826.42 K","43.70 - 67.84",
"MRO","Marathon Oil Corp","1.07%","14.65","-0.38","-2.53%","3.68 M","10.55 - 19.52",
"BHGE","Baker Hughes, a GE company","1.03%","28.59","+0.04","+0.14%","2.51 M","25.53 - 62.20",
"COG","Cabot Oil & Gas A","0.99%","25.33","+0.14","+0.56%","2.19 M","21.40 - 29.57",
"XEC","Cimarex Energy Co","0.76%","92.56","-0.85","-0.91%","549.83 K","89.49 - 130.16",
"HP","Helmerich & Payne Inc","0.66%","65.46","-1.10","-1.65%","620.30 K","42.16 - 75.02",
"NFX","Newfield Exploration Co","0.43%","22.82","-0.39","-1.66%","1.95 M","22.96 - 37.61",
"RRC","Range Resources Corp","0.35%","15.14","-0.08","-0.53%","4.31 M","11.93 - 30.30",
"CHK","Chesapeake Energy Corp","0.30%","3.05","-0.06","-1.95%","15.46 M","2.53 - 6.59",
