"Holdings and weightings as of 5:39 PM ET 01/03/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"BRK.b","Berkshire Hathaway B","11.34%","200.69","+0.90","+0.45%","3.90 M","158.61 - 200.50",
"JPM","JP Morgan Chase & Co","11.06%","109.04","+1.54","+1.43%","12.95 M","81.64 - 108.49",
"BAC","Bank of America Corp","8.53%","30.19","+0.39","+1.31%","76.43 M","22.01 - 30.03",
"WFC","Wells Fargo & Co","8.05%","62.33","+0.77","+1.25%","18.73 M","49.27 - 62.24",
"C","Citigroup Inc","5.82%","75.51","+0.92","+1.23%","16.86 M","55.23 - 77.92",
"GS","Goldman Sachs Group Inc","2.62%","256.83","+3.54","+1.40%","2.58 M","209.62 - 262.14",
"USB","US Bancorp","2.54%","54.98","+0.42","+0.77%","7.57 M","49.54 - 56.61",
"MS","Morgan Stanley","2.15%","53.13","+0.80","+1.53%","8.67 M","40.06 - 54.25",
"AXP","American Express Co","2.12%","100.85","+1.65","+1.66%","3.12 M","74.82 - 100.53",
"PNC","PNC Finl Services Group","2.03%","144.60","+0.01","+0.01%","3.29 M","113.66 - 147.28",
"CB","Chubb Limited","1.96%","144.00","+0.58","+0.40%","1.94 M","127.15 - 156.00",
"BLK","BlackRock Inc","1.87%","521.13","+6.79","+1.32%","389.83 K","365.83 - 520.74",
"SCHW","Schwab Charles Corp","1.81%","51.81","+0.29","+0.56%","5.31 M","37.16 - 52.52",
"BK","The Bank of New York Mellon Corp","1.64%","54.69","+0.54","+1.00%","2.88 M","43.85 - 55.40",
"AIG","American Intl Group Inc","1.60%","60.40","+0.24","+0.40%","4.17 M","57.85 - 67.47",
"MET","Metlife Inc","1.57%","51.36","+0.86","+1.70%","4.36 M","46.39 - 56.58",
"CME","CME Group Inc A","1.48%","148.68","+1.57","+1.07%","1.55 M","113.90 - 155.29",
"PRU","Prudential Financial Inc","1.44%","116.51","+1.02","+0.88%","1.83 M","97.88 - 118.17",
"COF","Capital One Financial","1.42%","101.42","+1.98","+1.99%","2.15 M","76.05 - 101.43",
"SPGI","S&P Global Inc","1.28%","173.38","+2.56","+1.50%","727.43 K","108.49 - 174.07",
"MMC","Marsh & McLennan Companies","1.23%","82.30","+0.85","+1.04%","1.60 M","66.75 - 86.54",
"ICE","Intercontinental Exchange Inc","1.22%","72.25","+1.34","+1.89%","3.04 M","55.80 - 72.99",
"BBT","BB&T Corp","1.17%","51.07","+0.61","+1.21%","3.81 M","41.17 - 51.11",
"ALL","Allstate Corp","1.08%","100.80","-1.18","-1.16%","2.02 M","73.04 - 105.36",
"STT","State Street Corp","1.07%","98.48","+1.05","+1.08%","1.03 M","74.45 - 100.90",
"TRV","Travelers Cos Inc","1.07%","132.40","0.00","0.00%","1.20 M","113.76 - 137.95",
"AFL","AFLAC Inc","1.02%","89.14","+0.91","+1.03%","1.66 M","66.50 - 89.81",
"AON","Aon plc","0.98%","135.42","+1.83","+1.37%","1.45 M","109.82 - 152.78",
"PGR","Progressive Corp","0.95%","55.32","-0.01","-0.02%","2.57 M","35.55 - 57.18",
"STI","SunTrust Banks Inc (GA)","0.92%","65.86","+0.18","+0.27%","5.83 M","51.96 - 66.62",
"SYF","Synchrony Financial","0.85%","39.40","+0.28","+0.72%","3.65 M","26.01 - 39.18",
"DFS","Discover Financial Services","0.83%","78.25","+0.77","+0.99%","1.99 M","57.50 - 77.79",
"MTB","M&T Bank Corp","0.77%","173.44","+0.33","+0.19%","628.31 K","141.12 - 176.62",
"TROW","T Rowe Price Group Inc","0.75%","105.31","+0.82","+0.78%","773.53 K","65.33 - 106.10",
"AMP","Ameriprise Financial Inc","0.74%","169.69","+0.62","+0.37%","870.17 K","110.75 - 173.62",
"MCO","Moody's Corp","0.73%","151.60","+2.74","+1.84%","778.59 K","93.51 - 153.86",
"FITB","Fifth Third Bancorp (OH)","0.64%","30.63","+0.11","+0.36%","7.45 M","23.20 - 31.83",
"KEY","KeyCorp","0.64%","20.32","+0.08","+0.40%","10.50 M","16.28 - 20.58",
"NTRS","Northern Trust Corp (IL)","0.63%","101.55","+1.50","+1.50%","1.02 M","81.92 - 104.84",
"CFG","Citizens Financial Group Inc","0.63%","43.68","+0.51","+1.18%","6.74 M","31.51 - 43.29",
"RF","Regions Financial Corp","0.60%","17.54","+0.14","+0.80%","10.34 M","13.00 - 17.58",
"HIG","Hartford Finl Services Group","0.58%","55.40","+0.57","+1.04%","1.59 M","46.35 - 58.61",
"WLTW","Willis Towers Watson PLC","0.58%","151.26","+1.52","+1.02%","800.87 K","120.87 - 165.00",
"PFG","Principal Financial Group","0.56%","71.45","+0.92","+1.30%","908.18 K","56.12 - 72.23",
"LNC","Lincoln National Corp","0.50%","78.93","+1.38","+1.78%","873.81 K","61.45 - 78.74",
"HBAN","Huntington Bancshares (OH)","0.47%","14.85","+0.13","+0.88%","15.11 M","12.14 - 14.93",
"CMA","Comerica Inc (MI)","0.44%","87.51","+0.97","+1.12%","1.35 M","64.04 - 88.22",
"IVZ","Invesco Ltd","0.44%","36.83","+0.30","+0.82%","2.36 M","28.75 - 37.85",
"BEN","Franklin Resources Inc","0.42%","43.30","-0.15","-0.35%","2.11 M","39.38 - 47.65",
"L","Loews Corp","0.41%","50.72","+0.25","+0.50%","1.16 M","45.01 - 51.02",
"CBOE","Cboe Global Markets, Inc","0.41%","124.04","+0.48","+0.39%","918.11 K","72.64 - 128.32",
"ETFC","E*TRADE Financial Corp","0.40%","51.30","+0.68","+1.34%","2.82 M","32.25 - 51.21",
"UNM","Unum Group","0.37%","55.75","+0.49","+0.89%","1.06 M","43.55 - 57.55",
"RJF","Raymond James Financial Inc","0.34%","90.54","+0.74","+0.82%","1.35 M","69.70 - 91.29",
"AMG","Affiliated Managers Grp","0.33%","198.54","-3.58","-1.77%","363.07 K","139.52 - 207.67",
"AJG","Gallagher Arthur J. & Co","0.33%","63.22","+0.58","+0.93%","932.03 K","51.96 - 67.32",
"CINF","Cincinnati Financial Corp","0.32%","73.62","+0.83","+1.14%","622.42 K","68.24 - 81.98",
"ZION","Zions Bancorp (UT)","0.30%","50.85","+0.21","+0.41%","3.31 M","38.43 - 52.20",
"TMK","Torchmark Corp","0.29%","90.70","+0.38","+0.42%","465.12 K","72.59 - 91.42",
"NDAQ","Nasdaq Inc","0.27%","78.69","+1.03","+1.33%","980.98 K","65.98 - 80.14",
"RE","Everest Re Group Ltd","0.27%","221.77","+2.00","+0.91%","431.82 K","208.81 - 277.17",
"XL","XL Group Ltd","0.26%","35.24","+0.81","+2.35%","3.51 M","33.77 - 47.27",
"LUK","Leucadia National Corp (NY)","0.25%","26.84","+0.15","+0.56%","1.51 M","22.23 - 27.34",
"PBCT","People's United Financial Inc","0.19%","18.84","+0.12","+0.64%","2.26 M","15.97 - 19.85",
"BHF","Brighthouse Financial Inc","0.17%","59.49","+0.98","+1.67%","558.29 K","52.75 - 75.00",
"AIZ","Assurant Inc","0.16%","100.05","+0.54","+0.54%","419.27 K","86.00 - 106.99",
"NAVI","Navient Corp","0.11%","13.94","+0.16","+1.16%","2.98 M","11.48 - 17.05",
