"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"BA","Boeing Co","8.12%","343.69","-5.23","-1.50%","2.24 M","173.75 - 371.60",
"MMM","3M Co","5.69%","231.17","-2.49","-1.07%","821.44 K","188.25 - 259.77",
"HON","Honeywell Intl Inc","4.78%","147.56","-1.77","-1.19%","1.09 M","122.40 - 165.13",
"UNP","Union Pacific Corp","4.48%","130.54","-0.75","-0.57%","1.04 M","101.06 - 143.05",
"UTX","United Technologies Corp","4.04%","130.08","-1.53","-1.16%","986.63 K","107.05 - 139.24",
"CAT","Caterpillar Inc","3.88%","149.51","-4.24","-2.76%","2.46 M","90.34 - 173.24",
"GE","General Electric Co","3.74%","14.29","-0.35","-2.37%","32.67 M","13.95 - 30.54",
"LMT","Lockheed Martin","3.57%","337.64","-1.86","-0.55%","607.49 K","264.04 - 363.00",
"UPS","United Parcel Service Inc B","3.06%","108.43","-1.37","-1.25%","2.46 M","102.12 - 135.53",
"GD","General Dynamics","2.71%","223.62","-1.19","-0.53%","420.38 K","183.72 - 229.54",
"RTN","Raytheon Co","2.69%","211.50","-1.74","-0.82%","732.82 K","148.65 - 222.82",
"FDX","FedEx Corp","2.56%","241.04","-2.01","-0.83%","715.08 K","182.89 - 274.66",
"NOC","Northrop Grumman Corp","2.56%","341.62","-0.25","-0.07%","431.16 K","233.20 - 359.43",
"CSX","CSX Corporation","2.41%","56.14","0.00","0.00%","2.44 M","45.41 - 60.04",
"DE","Deere & Co","2.25%","155.97","-2.54","-1.60%","1.05 M","106.93 - 175.26",
"ITW","Illinois Tool Works Inc","2.11%","161.09","-0.56","-0.35%","319.44 K","129.17 - 179.07",
"EMR","Emerson Electric Co","1.91%","69.68","-0.80","-1.13%","1.10 M","56.77 - 74.45",
"NSC","Norfolk Southern Corp","1.89%","140.81","-0.27","-0.19%","361.88 K","109.27 - 157.15",
"CMI","Cummins Inc","1.84%","157.89","-2.76","-1.72%","879.09 K","143.83 - 194.18",
"ETN","Eaton Corp plc","1.74%","80.35","-0.59","-0.73%","1.02 M","69.82 - 89.85",
"WM","Waste Management Inc","1.49%","85.16","-0.66","-0.77%","675.29 K","70.09 - 89.73",
"DAL","Delta Air Lines","1.41%","53.29","-0.55","-1.02%","1.77 M","43.81 - 60.79",
"LUV","Southwest Airlines Co","1.39%","57.64","-0.61","-1.05%","1.18 M","49.76 - 66.99",
"JCI","Johnson Controls International plc","1.38%","36.41","-0.99","-2.63%","1.56 M","34.51 - 44.37",
"ROK","Rockwell Automation Inc","1.20%","180.19","-1.31","-0.72%","183.64 K","148.31 - 210.72",
"PH","Parker-Hannifin Corp","1.19%","176.47","-1.37","-0.77%","253.11 K","151.17 - 212.80",
"COL","Rockwell Collins","1.14%","135.93","-0.46","-0.34%","665.58 K","95.62 - 139.63",
