"Holdings and weightings as of 5:39 PM ET 01/03/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AAPL","Apple Inc.","14.64%","173.03","+0.80","+0.46%","22.36 M","115.75 - 177.20",
"MSFT","Microsoft Corp","11.03%","87.11","+0.76","+0.88%","21.91 M","61.95 - 87.50",
"FB","Facebook Inc A","7.29%","184.33","-0.34","-0.18%","13.87 M","117.29 - 184.78",
"GOOG","Alphabet Inc C","5.41%","1086.40","+3.92","+0.36%","1.00 M","783.16 - 1086.29",
"GOOGL","Alphabet Inc A","5.39%","1095.76","+4.24","+0.39%","1.30 M","804.11 - 1096.10",
"T","AT&T Inc","3.83%","38.00","+0.35","+0.93%","27.85 M","32.55 - 43.00",
"INTC","Intel Corp","3.52%","44.43","-0.83","-1.83%","89.18 M","33.23 - 47.64",
"V","Visa Inc A","3.49%","116.08","+0.43","+0.37%","7.80 M","79.36 - 115.79",
"CSCO","Cisco Systems Inc","3.22%","38.99","+0.11","+0.28%","20.73 M","29.80 - 39.29",
"VZ","Verizon Communications Inc","2.93%","52.60","+0.17","+0.32%","12.06 M","42.80 - 54.83",
"ORCL","Oracle Corp","2.42%","48.18","+0.47","+0.99%","19.80 M","38.38 - 53.14",
"MA","Mastercard Inc A","2.38%","155.81","+1.99","+1.29%","3.25 M","104.01 - 154.65",
"IBM","Intl Business Machines Corp","2.27%","161.70","+3.21","+2.03%","7.55 M","139.13 - 182.79",
"NVDA","Nvidia Corp","2.19%","213.59","+1.12","+0.53%","14.56 M","95.17 - 218.67",
"AVGO","Broadcom Limited","1.84%","270.02","+0.09","+0.03%","1.90 M","173.31 - 285.68",
"TXN","Texas Instruments Inc","1.79%","108.29","-0.14","-0.13%","5.46 M","72.47 - 108.51",
"QCOM","QUALCOMM Inc","1.62%","66.03","+0.09","+0.14%","5.06 M","48.92 - 69.28",
"ACN","Accenture plc A","1.59%","156.38","+1.83","+1.18%","1.78 M","112.31 - 158.44",
"ADBE","Adobe Systems Inc","1.50%","183.22","+2.18","+1.20%","2.21 M","103.50 - 186.27",
"PYPL","PayPal Holdings Inc.","1.46%","76.73","-0.02","-0.03%","8.64 M","39.02 - 79.39",
"CRM","Salesforce.com","1.21%","106.68","+1.39","+1.32%","4.54 M","70.76 - 109.19",
"AMAT","Applied Materials Inc","0.98%","54.29","+0.31","+0.57%","9.43 M","31.86 - 60.89",
"MU","Micron Technology Inc","0.90%","46.88","+1.90","+4.22%","51.87 M","21.49 - 49.89",
"ADP","Automatic Data Processing","0.87%","118.37","+1.12","+0.96%","1.24 M","94.11 - 121.77",
"ATVI","Activision Blizzard Inc","0.84%","64.66","-0.65","-1.00%","3.92 M","36.64 - 67.40",
"CTSH","Cognizant Tech Solutions Corp","0.71%","72.68","+1.13","+1.58%","3.44 M","51.52 - 76.51",
"EBAY","eBay Inc.","0.65%","38.57","-0.65","-1.66%","8.96 M","29.51 - 39.28",
"INTU","Intuit Inc","0.65%","162.01","+2.85","+1.79%","1.69 M","111.90 - 161.44",
"HPQ","HP Inc","0.61%","21.53","+0.16","+0.75%","7.65 M","14.40 - 22.68",
"ADI","Analog Devices Inc","0.58%","91.30","-0.10","-0.11%","1.88 M","71.00 - 93.99",
"TEL","TE Connectivity Ltd.","0.58%","97.38","+0.45","+0.46%","1.40 M","66.20 - 97.17",
"EA","Electronic Arts","0.57%","107.19","-2.56","-2.33%","3.77 M","77.94 - 122.79",
"FIS","Fidelity National Information","0.54%","94.95","+0.70","+0.74%","1.67 M","75.52 - 96.67",
"LRCX","Lam Research Corp","0.54%","193.38","+0.88","+0.46%","2.23 M","106.08 - 219.70",
"GLW","Corning Inc","0.49%","33.76","+0.34","+1.02%","5.91 M","24.13 - 33.44",
"APH","Amphenol Corp A","0.46%","88.63","-0.31","-0.35%","1.40 M","66.00 - 91.26",
"FISV","Fiserv Inc","0.46%","133.26","+1.85","+1.41%","748.00 K","104.51 - 133.36",
"DXC","DXC Technology Company","0.46%","99.18","+2.33","+2.41%","2.12 M","67.76 - 99.44",
"ADSK","Autodesk Inc","0.42%","112.07","+2.69","+2.46%","2.16 M","76.09 - 131.10",
"WDC","Western Digital Corp","0.42%","82.17","-0.50","-0.60%","5.17 M","69.10 - 95.77",
"HPE","Hewlett Packard Enterprise Co","0.40%","15.06","+0.36","+2.45%","11.33 M","12.82 - 19.16",
"RHT","Red Hat Inc","0.38%","123.98","+0.92","+0.75%","1.71 M","71.11 - 130.93",
"MCHP","Microchip Technology Inc","0.37%","91.99","+0.22","+0.24%","1.65 M","62.21 - 95.92",
"PAYX","Paychex Inc","0.37%","68.92","+0.64","+0.94%","1.64 M","54.20 - 70.39",
"SWKS","Skyworks Solutions Inc","0.32%","100.77","+0.84","+0.84%","1.87 M","73.94 - 117.65",
"SYMC","Symantec Corp","0.31%","28.97","+0.06","+0.21%","5.28 M","23.94 - 34.20",
"XLNX","Xilinx Inc","0.30%","70.49","+1.25","+1.81%","3.35 M","54.99 - 75.14",
"CTL","CenturyLink Inc","0.29%","16.97","-0.11","-0.64%","14.46 M","13.16 - 27.61",
"KLAC","KLA-Tencor Corporation","0.29%","107.56","+0.19","+0.18%","1.93 M","77.86 - 114.43",
"NTAP","NetApp Inc","0.28%","57.81","+0.94","+1.65%","2.71 M","35.08 - 58.99",
"GPN","Global Payments Inc","0.28%","103.65","+1.94","+1.91%","1.12 M","70.44 - 104.90",
"MSI","Motorola Solutions Inc","0.26%","90.66","+0.75","+0.83%","1.30 M","76.92 - 95.30",
"TSS","Total System Services Inc","0.23%","79.42","+0.64","+0.81%","1.03 M","49.98 - 80.51",
"ADS","Alliance Data Systems Corp","0.22%","264.05","+3.98","+1.53%","363.20 K","209.00 - 266.25",
"CTXS","Citrix Systems Inc","0.22%","90.70","+1.05","+1.17%","987.48 K","55.93 - 89.85",
"STX","Seagate Technology","0.22%","42.64","-0.21","-0.49%","2.82 M","30.60 - 50.96",
"SNPS","Synopsys Inc","0.22%","87.89","+0.83","+0.95%","1.06 M","59.37 - 94.80",
"ANSS","ANSYS Inc","0.21%","151.82","+0.40","+0.26%","582.52 K","91.89 - 155.14",
"AKAM","Akamai Technologies Inc","0.20%","65.60","-0.34","-0.52%","1.87 M","44.65 - 71.64",
"CDNS","Cadence Design Systems Inc","0.20%","43.58","+0.65","+1.51%","3.18 M","25.33 - 45.64",
"CA","CA Inc","0.19%","33.78","+0.07","+0.21%","2.21 M","30.45 - 36.54",
"JNPR","Juniper Networks Inc","0.19%","28.79","-0.02","-0.07%","3.02 M","23.87 - 30.96",
"IT","Gartner Inc","0.19%","127.30","+2.11","+1.69%","828.49 K","90.37 - 130.02",
"AMD","Advanced Micro Devices","0.18%","12.12","+0.57","+4.94%","109.33 M","9.42 - 15.65",
"VRSN","VeriSign Inc","0.17%","111.47","+0.57","+0.51%","716.27 K","77.40 - 118.28",
"QRVO","Qorvo, Inc","0.16%","68.72","+0.33","+0.48%","1.35 M","52.74 - 81.20",
"FFIV","F5 Networks Inc","0.15%","137.12","+3.08","+2.30%","791.12 K","114.63 - 149.50",
"WU","Western Union Co","0.15%","19.45","+0.38","+1.99%","9.18 M","18.39 - 22.70",
"FLIR","FLIR Systems Inc","0.12%","47.61","+0.13","+0.27%","989.49 K","33.75 - 48.43",
"XRX","Xerox Corp","0.11%","29.69","+0.36","+1.23%","2.57 M","26.48 - 34.13",
"CSRA","CSRA Inc","0.10%","30.81","+0.34","+1.12%","1.09 M","27.38 - 33.67",
