"Holdings and weightings as of 5:39 PM ET 01/03/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"PG","Procter & Gamble","12.40%","91.18","+0.64","+0.71%","6.32 M","83.24 - 94.67",
"KO","Coca-Cola Co","9.37%","46.08","+0.64","+1.41%","12.70 M","40.22 - 47.48",
"PEP","PepsiCo Inc","9.00%","118.33","+0.58","+0.49%","3.15 M","101.06 - 120.57",
"PM","Philip Morris International","8.70%","103.47","-0.79","-0.76%","4.17 M","89.97 - 123.55",
"WMT","Wal-Mart Stores","7.82%","99.54","+0.09","+0.09%","6.83 M","65.28 - 100.13",
"COST","Costco Wholesale Corp","4.58%","189.10","-1.48","-0.78%","3.53 M","150.00 - 195.35",
"MO","Altria Group Inc","4.51%","70.20","-0.28","-0.40%","6.18 M","60.01 - 77.79",
"CVS","CVS Health Corporation","4.09%","75.13","+1.93","+2.64%","13.72 M","66.45 - 84.72",
"CL","Colgate-Palmolive Co","3.63%","75.33","+0.48","+0.64%","2.50 M","63.43 - 77.27",
"WBA","Walgreens Boots Alliance Inc","3.63%","71.60","-3.91","-5.18%","12.45 M","63.82 - 88.00",
"MDLZ","Mondelez International Inc","3.52%","42.68","+0.10","+0.23%","8.72 M","39.19 - 47.23",
"KHC","The Kraft Heinz Company","2.57%","77.91","+0.90","+1.17%","3.60 M","75.21 - 97.77",
"KMB","Kimberly-Clark","2.31%","118.43","+1.35","+1.15%","2.01 M","109.67 - 136.21",
"STZ","Constellation Brands Inc A","2.21%","225.79","-1.71","-0.75%","2.78 M","144.00 - 229.46",
"GIS","General Mills Inc","1.89%","59.41","+0.68","+1.16%","3.20 M","49.65 - 63.73",
"EL","Estee Lauder Cos. A","1.66%","130.23","+0.61","+0.47%","1.90 M","76.34 - 130.36",
"SYY","Sysco Corp","1.66%","60.84","+0.57","+0.95%","3.06 M","48.85 - 62.79",
"MNST","Monster Beverage Corp New","1.49%","63.36","+0.24","+0.38%","1.89 M","41.02 - 64.79",
"KR","Kroger Co","1.43%","26.98","-0.87","-3.12%","12.36 M","19.69 - 34.99",
"TSN","Tyson Foods Inc A","1.37%","80.22","+0.51","+0.64%","2.85 M","57.20 - 84.65",
"ADM","Archer-Daniels-Midland Co","1.29%","40.45","+0.67","+1.68%","3.66 M","38.59 - 47.44",
"CLX","Clorox Co","1.09%","145.69","+2.26","+1.58%","766.88 K","118.41 - 150.40",
"DPS","Dr Pepper Snapple Group","1.02%","95.77","+0.45","+0.47%","1.26 M","83.23 - 99.47",
"K","Kellogg Co","1.00%","68.73","+1.08","+1.60%","2.43 M","58.76 - 76.69",
"HSY","Hershey Foods Corp","0.94%","112.42","+0.78","+0.70%","679.68 K","101.61 - 116.49",
"CAG","Conagra Brands, Inc","0.92%","37.94","+0.61","+1.63%","3.26 M","32.16 - 41.68",
"TAP","Molson Coors Brewing Co B","0.91%","82.00","+0.55","+0.68%","966.05 K","76.25 - 102.14",
"SJM","Smucker J.M. Co","0.85%","124.39","+0.99","+0.80%","787.20 K","99.57 - 143.68",
"BF.b","Brown-Forman Corp B","0.82%","68.11","-0.08","-0.12%","952.81 K","43.72 - 69.15",
"CHD","Church & Dwight Co","0.76%","49.94","+0.83","+1.69%","1.50 M","43.21 - 54.18",
"MKC","McCormick & Co","0.75%","102.11","+0.64","+0.63%","761.81 K","89.65 - 106.50",
"HRL","Hormel Foods Corp","0.62%","36.45","+0.45","+1.25%","5.67 M","29.75 - 38.00",
"COTY","Coty Inc.","0.60%","20.08","+0.31","+1.57%","3.22 M","14.24 - 20.88",
"CPB","Campbell Soup Co","0.58%","47.11","+0.39","+0.83%","2.55 M","45.00 - 64.23",
