Holdings and weightings as of 5:39 PM ET 02/28/2018,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
AMT,American Tower Corp A,9.92%,139.33,-1.37,-0.97%,4.02 M,112.78 - 155.28
SPG,Simon Property Group A,7.92%,153.51,-0.42,-0.27%,2.08 M,150.15 - 187.35
CCI,Crown Castle Intl Corp,7.42%,110.06,-0.3,-0.27%,3.38 M,88.71 - 114.97
PLD,ProLogis Inc,5.36%,60.68,0.32,0.53%,4.64 M,48.80 - 67.53
EQIX,Equinix Inc,5.09%,392.1,0.89,0.23%,603.80 K,361.90 - 495.35
PSA,Public Storage,4.83%,194.44,1.52,0.79%,1.15 M,180.48 - 232.21
WY,Weyerhaeuser Co,4.39%,35.03,-0.23,-0.65%,4.77 M,30.95 - 36145.00
AVB,AvalonBay Communities Inc,3.58%,156.02,-0.06,-0.04%,1.44 M,154.82 - 199.52
EQR,Equity Residential,3.43%,56.23,0.4,0.72%,4.56 M,54.97 - 70.46
DLR,Digital Realty Trust,3.43%,100.64,0.34,0.34%,1.63 M,97.04 - 127.23
WELL,Welltower Inc,3.23%,52.5,0.28,0.54%,3.34 M,51.85 - 78.17
SBAC,SBA Communications Corp,3.07%,157.27,-5.93,-3.63%,2.00 M,110.16 - 177.67
BXP,Boston Properties Inc,3.04%,118.87,-0.64,-0.54%,1.06 M,111.57 - 140.13
VTR,Ventas Inc,2.86%,48.32,-0.59,-1.21%,3.37 M,49.12 - 72.36
ESS,Essex Property Trust,2.45%,223.83,2,0.90%,450.90 K,214.03 - 227055.00
CBG,CBRE Group Inc.,2.34%,46.75,-0.32,-0.68%,2.98 M,32.30 - 45975.00
O,Realty Income Corp,2.30%,49.18,0.03,0.06%,3.40 M,47.25 - 62.31
HST,Host Hotels & Resorts Inc,2.28%,18.56,0.07,0.38%,11.89 M,17.26 - 21.53
GGP,GGP Inc,2.19%,21.17,0.11,0.52%,8.66 M,18.83 - 25.62
ARE,Alexandria Real Estate Eqty,2.04%,121.31,0.47,0.39%,848.28 K,106.89 - 134.37
VNO,Vornado Realty Trust,1.90%,66.47,0.07,0.11%,1.96 M,65.16 - 110.13
EXR,Extra Space Storage Inc,1.78%,85.05,0.17,0.20%,1.95 M,71.34 - 88.56
HCP,HCP Inc,1.68%,21.64,-0.11,-0.51%,5.95 M,21.64 - 33.67
MAA,Mid-America Apt Communties,1.62%,85.82,0.23,0.27%,1.05 M,85.30 - 110.95
SLG,SL Green Realty Corp,1.49%,96.92,1.03,1.07%,1.47 M,89.46 - 115.34
UDR,UDR Inc,1.49%,33.62,0.04,0.12%,2.20 M,32.88 - 40.71
IRM,Iron Mountain Inc,1.47%,31.46,0.41,1.32%,2.54 M,31.34 - 41.53
DRE,Duke Realty Corp,1.46%,24.77,-0.06,-0.24%,3.93 M,24.48 - 30.14
REG,Regency Centers Corp,1.43%,58.11,0.2,0.35%,1.58 M,54.87 - 72.05
FRT,Federal Realty Invt Trust,1.37%,113.94,0.46,0.41%,458.60 K,106.41 - 143.79
KIM,Kimco Realty Corp,1.06%,14.96,0.11,0.74%,8.16 M,13.70 - 24.68
MAC,Macerich Co,1.06%,58.94,1.09,1.88%,3.07 M,52.12 - 69.73
AIV,Apartment Investment & Mgmt,1.01%,38.66,0.23,0.60%,3.37 M,37.97 - 46.72
