"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"NEE","NextEra Energy Inc","11.63%","152.38","-0.88","-0.57%","682.60 K","127.09 - 159.64",
"DUK","Duke Energy Corp","7.90%","75.32","-0.54","-0.71%","5.95 M","72.93 - 91.80",
"D","Dominion Energy Inc","7.57%","72.54","-0.38","-0.52%","936.38 K","71.91 - 85.30",
"SO","Southern Co","7.14%","43.62","-0.48","-1.09%","2.93 M","42.38 - 53.51",
"EXC","Exelon Corp","5.76%","36.72","-0.45","-1.21%","1.75 M","33.30 - 42.67",
"AEP","American Electric Power","5.22%","64.96","-0.54","-0.82%","999.03 K","63.32 - 78.07",
"SRE","Sempra Energy","4.45%","108.42","-0.94","-0.86%","480.54 K","100.63 - 122.98",
"PEG","Public Service Enterprise Grp","3.85%","46.44","-0.30","-0.64%","1.25 M","41.67 - 53.28",
"ED","Consolidated Edison Inc","3.78%","74.50","-0.64","-0.85%","795.16 K","73.73 - 89.70",
"XEL","Xcel Energy Inc","3.54%","42.78","-0.13","-0.30%","1.57 M","41.51 - 52.22",
"PCG","PG&E Corporation","3.53%","41.53","-0.89","-2.10%","2.87 M","37.30 - 71.57",
"EIX","Edison Intl","3.17%","59.42","-0.65","-1.08%","720.28 K","57.63 - 83.38",
"PPL","PPL Corp","3.06%","27.87","+0.19","+0.69%","5.20 M","27.48 - 40.20",
"WEC","WEC Energy Group Inc","3.06%","59.70","-0.38","-0.63%","457.84 K","58.05 - 70.09",
"DTE","DTE Energy Co","2.96%","100.10","-1.10","-1.09%","480.00 K","97.66 - 116.74",
"ES","Eversource Energy","2.90%","56.35","-0.33","-0.58%","576.21 K","55.93 - 66.15",
"FE","FirstEnergy Corp","2.29%","31.45","-0.40","-1.26%","1.90 M","27.93 - 35.22",
"AWK","American Water Works Co Inc","2.29%","79.93","+0.24","+0.30%","324.50 K","74.63 - 92.37",
"ETR","Entergy Corp","2.26%","76.51","-1.21","-1.56%","452.07 K","71.95 - 87.95",
"AEE","Ameren Corp","2.13%","53.50","-0.44","-0.82%","793.69 K","51.89 - 64.89",
"CMS","CMS Energy Corp","1.98%","42.53","-0.16","-0.37%","1.02 M","40.48 - 50.85",
"CNP","Centerpoint Energy Inc","1.89%","26.70","-0.07","-0.26%","1.22 M","25.84 - 30.45",
"NRG","NRG Energy","1.42%","29.15","-0.07","-0.22%","2.44 M","14.52 - 29.78",
"LNT","Alliant Energy Corp","1.42%","38.08","-0.09","-0.24%","412.46 K","36.84 - 45.55",
"PNW","Pinnacle West Capital (AZ)","1.41%","75.68","-0.62","-0.81%","362.18 K","73.81 - 92.48",
"NI","Nisource Inc","1.28%","23.00","-0.21","-0.90%","1.72 M","22.44 - 27.76",
"AES","AES Corp","1.17%","10.77","-0.17","-1.51%","2.52 M","9.87 - 12.05",
"SCG","SCANA Corp","0.94%","41.02","+0.06","+0.15%","570.01 K","34.76 - 71.28",
