"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AMZN","Amazon.com Inc","20.73%","1531.28","-6.36","-0.41%","2.24 M","833.50 - 1542.13",
"HD","Home Depot Inc","7.15%","177.71","-2.90","-1.61%","2.00 M","144.25 - 207.61",
"CMCSA","Comcast Corp A","5.80%","36.15","-0.72","-1.95%","8.81 M","34.78 - 44.00",
"DIS","Walt Disney Co","5.34%","103.10","-1.84","-1.75%","2.22 M","96.20 - 116.10",
"NFLX","NetFlix Inc","4.74%","316.29","-8.93","-2.75%","10.46 M","138.66 - 325.79",
"MCD","McDonald's Corp","4.06%","150.55","-0.65","-0.43%","1.56 M","127.34 - 178.70",
"BKNG","Booking Holdings Inc","3.43%","2094.92","+9.41","+0.45%","242.96 K","1630.56 - 2095.87",
"NKE","NIKE Inc B","2.89%","63.90","-1.34","-2.05%","2.35 M","50.35 - 70.25",
"SBUX","Starbucks Corp","2.74%","56.82","-0.21","-0.38%","3.04 M","52.58 - 64.87",
"TWX","Time Warner Inc","2.50%","94.66","-0.46","-0.48%","2.12 M","85.88 - 103.90",
"LOW","Lowe's Cos Inc","2.45%","85.97","-1.15","-1.32%","2.48 M","70.76 - 108.98",
"CHTR","Charter Communications Inc A","2.21%","336.26","-1.70","-0.50%","320.96 K","308.30 - 408.83",
"TJX","TJX Cos Inc","1.81%","83.32","-1.07","-1.27%","2.18 M","66.44 - 84.79",
"GM","General Motors Company","1.63%","37.29","-0.64","-1.69%","5.82 M","31.92 - 46.76",
"MAR","Marriott Intl A","1.42%","137.29","-0.32","-0.23%","624.57 K","85.63 - 149.21",
"F","Ford Motor Co","1.40%","10.49","-0.14","-1.32%","14.73 M","10.14 - 13.48",
"FOXA","Twenty-First Century Fox Inc A","1.33%","36.90","-0.65","-1.72%","3.43 M","24.81 - 39.14",
"TGT","Target Corp","1.32%","71.28","-0.51","-0.71%","3.76 M","48.56 - 78.70",
"ROST","Ross Stores Inc","1.05%","76.27","-4.24","-5.27%","4.85 M","52.85 - 85.66",
"YUM","Yum! Brands Inc","0.92%","80.61","-0.77","-0.95%","576.70 K","62.85 - 86.93",
"CCL","Carnival Corp","0.91%","65.19","-0.96","-1.45%","800.53 K","55.33 - 72.70",
"DLTR","Dollar Tree Inc","0.83%","88.34","-16.02","-15.35%","12.93 M","65.63 - 116.65",
"DG","Dollar General Corp","0.82%","89.59","-3.85","-4.12%","2.99 M","65.97 - 105.82",
"VFC","VF Corp","0.81%","73.13","-0.30","-0.41%","1.19 M","51.22 - 84.38",
"APTV","Aptiv plc","0.81%","88.92","-1.03","-1.15%","564.72 K","50.01 - 104.99",
"ORLY","O'Reilly Automotive","0.72%","248.64","-3.10","-1.23%","233.10 K","169.43 - 279.23",
"RCL","Royal Caribbean Cruises Ltd","0.71%","122.41","-1.39","-1.12%","369.01 K","93.86 - 135.65",
"BBY","Best Buy Co Inc","0.66%","73.51","-3.26","-4.25%","2.72 M","43.72 - 78.59",
"CBS","CBS Corp B","0.65%","52.00","-1.23","-2.31%","1.31 M","50.63 - 70.10",
"AZO","AutoZone Inc","0.62%","654.82","-9.91","-1.49%","124.16 K","491.13 - 797.89",
"MGM","MGM Resorts International","0.60%","34.58","-0.18","-0.50%","2.70 M","25.15 - 38.41",
"OMC","Omnicom Group","0.59%","73.83","-1.51","-2.00%","1.43 M","65.32 - 86.71",
"FOX","Twenty-First Century Fox Inc B","0.55%","36.45","-0.57","-1.54%","574.07 K","24.30 - 38.56",
"LEN","Lennar Corp A","0.54%","58.86","-0.31","-0.52%","842.87 K","49.34 - 72.17",
"HLT","Hilton Worldwide Holdings  Inc","0.54%","78.39","-0.55","-0.70%","303.96 K","55.79 - 88.11",
